case_id,round,company,is_clean,current9_observed_n,current9_below_n,current9_below_share,current9_flag,directional8_no13_observed_n,directional8_no13_below_n,directional8_no13_below_share,directional8_no13_flag,without_no8_observed_n,without_no8_below_n,without_no8_below_share,without_no8_flag,without_no14_observed_n,without_no14_below_n,without_no14_below_share,without_no14_flag,old7_no8_no14_observed_n,old7_no8_no14_below_n,old7_no8_no14_below_share,old7_no8_no14_flag,no8_no13_no14_observed_n,no8_no13_no14_below_n,no8_no13_no14_below_share,no8_no13_no14_flag,direct_or_near_direct5_observed_n,direct_or_near_direct5_below_n,direct_or_near_direct5_below_share,direct_or_near_direct5_flag,direct_comparable3_observed_n,direct_comparable3_below_n,direct_comparable3_below_share,direct_comparable3_flag
s1_outline_4,1次,株式会社インターオフィス,False,7,0.0,0.0,False,7,0.0,0.0,False,6,0.0,0.0,False,6,0.0,0.0,False,5,0.0,0.0,False,5,0.0,0.0,False,4,0.0,0.0,False,3,0.0,0.0,False
s1_outline_11,1次,大峰堂薬品工業株式会社,True,7,2.0,0.2857142857142857,False,7,2.0,0.2857142857142857,False,6,2.0,0.3333333333333333,False,6,1.0,0.16666666666666666,False,5,1.0,0.2,False,5,1.0,0.2,False,4,1.0,0.25,False,3,1.0,0.3333333333333333,False
s1_outline_26,1次,日星電気株式会社,True,7,1.0,0.14285714285714285,False,7,1.0,0.14285714285714285,False,6,1.0,0.16666666666666666,False,6,1.0,0.16666666666666666,False,5,1.0,0.2,False,5,1.0,0.2,False,4,1.0,0.25,False,3,1.0,0.3333333333333333,False
s1_outline_28,1次,広陵化学工業株式会社,True,7,2.0,0.2857142857142857,False,7,2.0,0.2857142857142857,False,6,1.0,0.16666666666666666,False,6,2.0,0.3333333333333333,False,5,1.0,0.2,False,5,1.0,0.2,False,4,1.0,0.25,False,3,0.0,0.0,False
s1_outline_33,1次,株式会社石井機械製作所,False,7,2.0,0.2857142857142857,False,7,2.0,0.2857142857142857,False,6,2.0,0.3333333333333333,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,5,2.0,0.4,False,4,2.0,0.5,False,3,1.0,0.3333333333333333,False
s1_outline_37,1次,大日工業株式会社,True,7,3.0,0.42857142857142855,False,7,3.0,0.42857142857142855,False,6,2.0,0.3333333333333333,False,6,2.0,0.3333333333333333,False,5,1.0,0.2,False,5,1.0,0.2,False,4,1.0,0.25,False,3,0.0,0.0,False
s1_outline_65,1次,株式会社松風,True,7,2.0,0.2857142857142857,False,7,2.0,0.2857142857142857,False,6,2.0,0.3333333333333333,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,5,2.0,0.4,False,4,2.0,0.5,False,3,2.0,0.6666666666666666,True
s1_outline_71,1次,株式会社北四国グラビア印刷,True,7,0.0,0.0,False,7,0.0,0.0,False,6,0.0,0.0,False,6,0.0,0.0,False,5,0.0,0.0,False,5,0.0,0.0,False,4,0.0,0.0,False,3,0.0,0.0,False
s1_outline_94,1次,株式会社友和環境,False,7,4.0,0.5714285714285714,False,7,4.0,0.5714285714285714,False,6,3.0,0.5,False,6,3.0,0.5,False,5,2.0,0.4,False,5,2.0,0.4,False,4,1.0,0.25,False,3,0.0,0.0,False
s2_outline_12,3次,株式会社フルサワ,False,7,1.0,0.14285714285714285,False,7,1.0,0.14285714285714285,False,6,1.0,0.16666666666666666,False,6,1.0,0.16666666666666666,False,5,1.0,0.2,False,5,1.0,0.2,False,4,1.0,0.25,False,3,0.0,0.0,False
s2_outline_23,3次,大和鋼業株式会社,True,7,1.0,0.14285714285714285,False,7,1.0,0.14285714285714285,False,6,1.0,0.16666666666666666,False,6,0.0,0.0,False,5,0.0,0.0,False,5,0.0,0.0,False,4,0.0,0.0,False,3,0.0,0.0,False
s2_outline_25,3次,有限会社ホテル十勝屋,True,7,3.0,0.42857142857142855,False,7,3.0,0.42857142857142855,False,6,3.0,0.5,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,5,2.0,0.4,False,4,1.0,0.25,False,3,0.0,0.0,False
s2_outline_33,3次,株式会社浪速ポンプ製作所,False,7,0.0,0.0,False,7,0.0,0.0,False,6,0.0,0.0,False,6,0.0,0.0,False,5,0.0,0.0,False,5,0.0,0.0,False,4,0.0,0.0,False,3,0.0,0.0,False
s2_outline_96,3次,株式会社フォース,True,7,3.0,0.42857142857142855,False,7,3.0,0.42857142857142855,False,6,2.0,0.3333333333333333,False,6,2.0,0.3333333333333333,False,5,1.0,0.2,False,5,1.0,0.2,False,4,0.0,0.0,False,3,0.0,0.0,False
s2_outline_101,3次,安藤パラケミー株式会社,False,7,0.0,0.0,False,7,0.0,0.0,False,6,0.0,0.0,False,6,0.0,0.0,False,5,0.0,0.0,False,5,0.0,0.0,False,4,0.0,0.0,False,3,0.0,0.0,False
