case_id,company,round_original,application_round,round_changed,old_core29,new_core28,membership_change
s1_outline_92,アサヒフォージ株式会社,1次,1次,False,False,False,unchanged
s1_outline_100,マリンフード株式会社,1次,1次,False,False,False,unchanged
s1_outline_115,株式会社国際エキスプレス,1次,2次,True,False,False,unchanged
s1_outline_117,信越理研株式会社,1次,2次,True,False,False,unchanged
s1_outline_122,岸和田製鋼株式会社,1次,2次,True,False,False,unchanged
s1_outline_124,株式会社シロ,1次,2次,True,False,False,unchanged
s1_outline_125,株式会社ミダック,1次,2次,True,False,False,unchanged
s1_outline_135,株式会社永井運送,1次,2次,True,False,False,unchanged
s1_outline_138,菅野包装資材株式会社,1次,2次,True,False,False,unchanged
s1_outline_148,株式会社しばた工芸,1次,2次,True,False,False,unchanged
s1_outline_151,四国医療サービス株式会社,1次,2次,True,False,False,unchanged
s1_outline_167,銘建工業株式会社,1次,2次,True,False,False,unchanged
s2_outline_34,フタバ食品株式会社,3次,3次,False,False,False,unchanged
s2_outline_47,INTLOOP株式会社,3次,3次,False,False,False,unchanged
s2_outline_51,有楽製菓株式会社,3次,3次,False,False,False,unchanged
s2_outline_152,株式会社大熊製作所,4次,4次,False,False,False,unchanged
s2_outline_153,コモライフ株式会社,4次,4次,False,False,False,unchanged
s2_outline_154,アルフレッド株式会社,4次,4次,False,False,False,unchanged
s2_outline_163,MHT株式会社,4次,4次,False,False,False,unchanged
s2_outline_174,ナカネ新建材株式会社,4次,4次,False,False,False,unchanged
s2_outline_176,北アルプス飲料株式会社,4次,4次,False,False,False,unchanged
s2_outline_204,新日本電工株式会社,4次,4次,False,False,False,unchanged
s1_outline__208,日本電波工業株式会社,2次,2次,False,False,False,unchanged
s1_outline_3,株式会社堀場エステック,1次,1次,False,False,False,unchanged
s1_outline_22,BBSジャパン株式会社,1次,1次,False,False,False,unchanged
s1_outline_68,株式会社ミマキエンジニアリング,1次,1次,False,False,False,unchanged
s1_outline_154,中央観光株式会社,1次,2次,True,False,False,unchanged
s1_outline_166,株式会社福地建設,1次,2次,True,False,False,unchanged
s2_outline_8,牛乳石鹸共進社株式会社,3次,3次,False,False,False,unchanged
s2_outline_14,スギムラ化学工業株式会社,3次,3次,False,False,False,unchanged
s2_outline_62,株式会社エネルギーギャップ,3次,3次,False,False,False,unchanged
s2_outline_67,千代田空調機器株式会社,3次,3次,False,False,False,unchanged
s2_outline_79,大京株式会社,3次,3次,False,False,False,unchanged
s2_outline_160,株式会社ダイドー,4次,4次,False,False,False,unchanged
s2_outline_215,昭和化工株式会社,3次,3次,False,False,False,unchanged
s2_outline_220,富田薬品株式会社,4次,4次,False,False,False,unchanged
s2_outline_230,株式会社アイ・グラン・ソリューション,4次,4次,False,False,False,unchanged
s2_outline_157,株式会社ワイズマート,4次,4次,False,False,False,unchanged
s2_outline_231,創建ホーム株式会社,4次,4次,False,False,False,unchanged
s2_outline_21,健栄製薬株式会社,3次,3次,False,False,False,unchanged
s2_outline_39,名古屋東部陸運株式会社,3次,3次,False,False,False,unchanged
s2_outline_191,株式会社ビクトリー,4次,4次,False,False,False,unchanged
