case_id,round,company,metric_no,metric_label,company_value,applicant_median,relative_gap_below_benchmark,absolute_relative_gap_lt_1pct,absolute_relative_gap_lt_5pct,absolute_relative_gap_lt_10pct,primary_core28
s2_outline_72,3次,ときわ製作所株式会社,8,付加価値増加額（簡易補正推計）,8.346250000000001,15.7,0.4683917197452228,False,False,False,True
s2_outline_140,3次,都吹株式会社,8,付加価値増加額（簡易補正推計）,14.873100000000004,15.7,0.05266878980891687,False,False,True,False
s2_outline_200,4次,有限会社ワンプラスワン,8,付加価値増加額（簡易補正推計）,15.881755999999998,12.9,-0.23114387596899202,False,False,False,False
s2_outline_19,3次,株式会社高木製作所,8,付加価値増加額（簡易補正推計）,32.99615000000001,15.7,-1.101665605095542,False,False,False,True
s1_outline__184,2次,泉南乳業株式会社,8,付加価値増加額（簡易補正推計）,9.26211,9.1,-0.017814285714285737,False,True,True,False
s1_outline__189,2次,長﨑ジャッキ株式会社,8,付加価値増加額（簡易補正推計）,10.18545,9.1,-0.11928021978021976,False,False,False,False
s1_outline_14,1次,日華化学株式会社,8,付加価値増加額（簡易補正推計）,18.72123,5.1,-2.670829411764706,False,False,False,False
s1_outline_34,1次,株式会社柴田合成,8,付加価値増加額（簡易補正推計）,5.461390000000001,5.1,-0.0708607843137257,False,False,True,False
s1_outline_88,1次,株式会社創味食品,8,付加価値増加額（簡易補正推計）,36.37612000000001,5.1,-6.132572549019609,False,False,False,False
s1_outline_107,1次,株式会社ササキ,8,付加価値増加額（簡易補正推計）,6.786450000000001,5.1,-0.3306764705882356,False,False,False,False
s1_outline_116,2次,株式会社かねふくめんたいパーク,8,付加価値増加額（簡易補正推計）,11.06622,9.1,-0.21606813186813187,False,False,False,False
s1_outline_127,2次,株式会社ユニワールド,8,付加価値増加額（簡易補正推計）,10.660782,9.1,-0.17151450549450548,False,False,False,False
s1_outline_152,2次,ヤマトミシン製造株式会社,8,付加価値増加額（簡易補正推計）,8.67251,9.1,0.04697692307692295,False,True,True,False
s2_outline_5,3次,奥長良川名水株式会社,8,付加価値増加額（簡易補正推計）,6.573160000000001,15.7,0.5813273885350317,False,False,False,False
s2_outline_94,3次,株式会社富士カーボン製造所,8,付加価値増加額（簡易補正推計）,18.96224,15.7,-0.20778598726114664,False,False,False,False
s2_outline_119,4次,株式会社群馬コイケ,8,付加価値増加額（簡易補正推計）,11.553399,12.9,0.10438767441860462,False,False,False,False
s2_outline_148,4次,丹羽鋳造株式会社,8,付加価値増加額（簡易補正推計）,14.431626000000003,12.9,-0.11873069767441882,False,False,False,False
s2_outline_151,3次,株式会社清水インダストリ－,8,付加価値増加額（簡易補正推計）,7.822100000000001,15.7,0.5017770700636942,False,False,False,False
s2_outline_209,3次,株式会社ファーストダウン,8,付加価値増加額（簡易補正推計）,21.4588,15.7,-0.3668025477707007,False,False,False,False
s2_outline_214,3次,株式会社 八天堂,8,付加価値増加額（簡易補正推計）,18.379020000000004,15.7,-0.17063821656050987,False,False,False,False
s2_outline_223,4次,三ッ和商事株式会社,8,付加価値増加額（簡易補正推計）,14.288340000000002,12.9,-0.10762325581395359,False,False,False,False
s1_outline__197,2次,株式会社福山臨床検査センター,8,付加価値増加額（簡易補正推計）,16.203660000000003,9.1,-0.7806219780219784,False,False,False,False
s1_outline__206,2次,上山製紙株式会社,8,付加価値増加額（簡易補正推計）,11.01276,9.1,-0.21019340659340666,False,False,False,False
s1_outline_4,1次,株式会社インターオフィス,8,付加価値増加額（簡易補正推計）,12.82589,5.1,-1.5148803921568628,False,False,False,False
s1_outline_11,1次,大峰堂薬品工業株式会社,8,付加価値増加額（簡易補正推計）,7.927920000000001,5.1,-0.5544941176470591,False,False,False,False
s1_outline_26,1次,日星電気株式会社,8,付加価値増加額（簡易補正推計）,26.07374,5.1,-4.112498039215686,False,False,False,False
s1_outline_28,1次,広陵化学工業株式会社,8,付加価値増加額（簡易補正推計）,4.594480000000001,5.1,0.09912156862745077,False,False,True,False
s1_outline_33,1次,株式会社石井機械製作所,8,付加価値増加額（簡易補正推計）,8.216560000000001,5.1,-0.6110901960784317,False,False,False,False
s1_outline_37,1次,大日工業株式会社,8,付加価値増加額（簡易補正推計）,2.4280629999999994,5.1,0.5239092156862746,False,False,False,False
s1_outline_65,1次,株式会社松風,8,付加価値増加額（簡易補正推計）,19.17366,5.1,-2.759541176470589,False,False,False,False
s1_outline_71,1次,株式会社北四国グラビア印刷,8,付加価値増加額（簡易補正推計）,11.47036,5.1,-1.2490901960784315,False,False,False,False
s1_outline_94,1次,株式会社友和環境,8,付加価値増加額（簡易補正推計）,1.3904,5.1,0.7273725490196078,False,False,False,False
s2_outline_12,3次,株式会社フルサワ,8,付加価値増加額（簡易補正推計）,22.888800000000003,15.7,-0.4578853503184716,False,False,False,False
s2_outline_23,3次,大和鋼業株式会社,8,付加価値増加額（簡易補正推計）,17.960800000000003,15.7,-0.1440000000000002,False,False,False,False
s2_outline_25,3次,有限会社ホテル十勝屋,8,付加価値増加額（簡易補正推計）,16.567980000000002,15.7,-0.055285350318471524,False,False,True,False
s2_outline_33,3次,株式会社浪速ポンプ製作所,8,付加価値増加額（簡易補正推計）,20.72796,15.7,-0.3202522292993631,False,False,False,False
s2_outline_96,3次,株式会社フォース,8,付加価値増加額（簡易補正推計）,7.376908000000001,15.7,0.5301332484076433,False,False,False,False
s2_outline_101,3次,安藤パラケミー株式会社,8,付加価値増加額（簡易補正推計）,23.331000000000003,15.7,-0.486050955414013,False,False,False,False
s2_outline_103,3次,ベストアメニティ株式会社,8,付加価値増加額（簡易補正推計）,28.094,15.7,-0.7894267515923569,False,False,False,False
s2_outline_158,4次,株式会社セントラルフード,8,付加価値増加額（簡易補正推計）,9.525153,12.9,0.26161604651162795,False,False,False,False
s2_outline_178,4次,株式会社メタルテック,8,付加価値増加額（簡易補正推計）,27.47283,12.9,-1.1296767441860462,False,False,False,False
s2_outline_179,4次,株式会社クラスコ,8,付加価値増加額（簡易補正推計）,14.846645,12.9,-0.1509027131782946,False,False,False,False
s2_outline_182,4次,株式会社北十,8,付加価値増加額（簡易補正推計）,4.1679,12.9,0.676906976744186,False,False,False,False
s2_outline_190,3次,伊藤光学工業株式会社,8,付加価値増加額（簡易補正推計）,23.651100000000003,15.7,-0.5064394904458601,False,False,False,False
